STATE/UT,YEAR,Pupose,Total No. of cases reported,Male upto 10 years,Female upto 10 years,Male 10-15 years,Female 10-15 years,Male 15-18 years,Female 15-18 years,Male 18-30 years,Female 18-30 years,Male 30-50 years,Female 30-50 years,Male above 50 years,Female above 50 years,Total Male,Total Female,Grand Total
Odisha,2008,For Prostitution,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
Odisha,2008,For Ransom,3,1,1,0,0,0,0,1,0,0,0,0,0,2,1,3
Odisha,2008,For Revenge,22,0,0,0,0,1,0,7,4,7,3,0,0,15,7,22
Odisha,2008,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2008,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2008,For Slavery,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
Odisha,2008,For unlawaful activity,45,0,0,0,0,1,0,5,21,15,2,0,1,21,24,45
Odisha,2008,Others,345,0,0,1,1,1,0,82,144,8,101,7,0,99,246,345
Odisha,2008,Total,908,1,1,1,2,3,4,98,599,36,155,7,1,146,762,908
Odisha,2009,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2009,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2009,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2009,For Illicit intercourse,49,0,0,0,1,0,0,0,45,0,3,0,0,0,49,49
Odisha,2009,For marriage,444,0,0,0,3,0,9,2,413,5,9,0,3,7,437,444
Odisha,2009,For Prostitution,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
Odisha,2009,For Ransom,5,1,0,0,0,0,0,2,0,2,0,0,0,5,0,5
Odisha,2009,For Revenge,13,0,0,0,0,0,0,7,6,0,0,0,0,7,6,13
Odisha,2009,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2009,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2009,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2009,For unlawaful activity,29,0,1,0,2,1,2,4,20,0,0,0,0,5,25,30
Odisha,2009,Others,388,1,0,0,2,0,25,114,191,16,33,4,2,135,253,388
Odisha,2009,Total,930,2,1,0,10,1,36,129,675,23,45,4,5,159,772,931
Odisha,2010,For Adoption,45,0,0,0,0,0,0,0,42,0,3,0,0,0,45,45
Odisha,2010,For Begging,25,0,0,0,0,0,0,0,25,0,0,0,0,0,25,25
Odisha,2010,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2010,For Illicit intercourse,87,0,0,0,2,0,0,4,80,0,1,0,0,4,83,87
Odisha,2010,For marriage,417,0,0,0,11,0,16,4,373,4,9,0,0,8,409,417
Odisha,2010,For Prostitution,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Odisha,2010,For Ransom,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
Odisha,2010,For Revenge,3,0,0,0,0,0,0,0,1,2,0,0,0,2,1,3
Odisha,2010,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2010,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2010,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2010,For unlawaful activity,13,0,0,0,0,0,0,6,5,2,0,0,0,8,5,13
Odisha,2010,Others,422,1,1,0,7,0,17,62,292,19,23,0,0,82,340,422
Odisha,2010,Total,1016,1,1,0,20,0,33,76,822,27,36,0,0,104,912,1016
Odisha,2011,For Adoption,42,0,0,0,0,0,28,6,8,0,0,0,0,6,36,42
Odisha,2011,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2011,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2011,For Illicit intercourse,136,0,0,0,4,0,16,0,106,0,9,0,1,0,136,136
Odisha,2011,For marriage,326,0,0,0,14,0,39,3,259,0,11,0,0,3,323,326
Odisha,2011,For Prostitution,5,0,0,0,1,0,0,0,4,0,0,0,0,0,5,5
Odisha,2011,For Ransom,6,0,0,0,0,0,0,1,1,4,0,0,0,5,1,6
Odisha,2011,For Revenge,7,0,0,0,0,0,0,7,0,0,0,0,0,7,0,7
Odisha,2011,For Sale,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2
Odisha,2011,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2011,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2011,For unlawaful activity,18,1,0,0,1,0,3,0,8,2,3,0,0,3,15,18
Odisha,2011,Others,597,2,0,4,22,8,42,87,383,4,44,1,0,106,491,597
Odisha,2011,Total,1139,4,1,4,42,8,128,104,769,10,67,1,1,131,1008,1139
Odisha,2012,For Adoption,104,0,0,0,0,0,0,3,99,0,2,0,0,3,101,104
Odisha,2012,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2012,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2012,For Illicit intercourse,307,0,0,0,3,0,13,0,237,0,53,0,1,0,307,307
Odisha,2012,For marriage,443,0,0,0,0,0,47,5,321,0,70,0,0,5,438,443
Odisha,2012,For Prostitution,13,0,0,0,0,0,1,0,12,0,0,0,0,0,13,13
Odisha,2012,For Ransom,7,0,0,0,0,1,0,3,3,0,0,0,0,4,3,7
Odisha,2012,For Revenge,40,0,0,0,0,0,1,5,23,6,5,0,0,11,29,40
Odisha,2012,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2012,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2012,For Slavery,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5
Odisha,2012,For unlawaful activity,65,1,1,0,0,12,9,6,28,6,1,1,0,26,39,65
Odisha,2012,Others,558,1,3,3,14,7,0,106,303,12,109,0,0,129,429,558
Odisha,2012,Total,1542,2,4,3,17,20,71,128,1026,24,245,1,1,178,1364,1542
Punjab,2001,For Adoption,3,2,1,0,0,0,0,0,0,0,0,0,0,2,1,3
Punjab,2001,For Begging,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Punjab,2001,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2001,For Illicit intercourse,74,0,0,0,16,7,40,2,4,0,5,0,0,9,65,74
Punjab,2001,For marriage,150,0,0,0,2,0,88,0,57,0,3,0,0,0,150,150
Punjab,2001,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2001,For Ransom,6,3,0,1,0,1,0,0,0,1,0,0,0,6,0,6
Punjab,2001,For Revenge,12,0,0,0,0,0,0,1,0,10,1,0,0,11,1,12
Punjab,2001,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2001,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2001,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2001,For unlawaful activity,44,0,0,0,0,9,4,15,0,14,0,1,1,39,5,44
Punjab,2001,Others,223,1,0,5,3,11,79,46,48,24,3,3,0,90,133,223
Punjab,2001,Total,513,7,1,6,21,28,211,64,109,49,12,4,1,158,355,513
Punjab,2002,For Adoption,3,0,0,0,2,0,1,0,0,0,0,0,0,0,3,3
Punjab,2002,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2002,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2002,For Illicit intercourse,53,0,1,3,3,1,5,0,37,0,3,0,0,4,49,53
Punjab,2002,For marriage,246,0,0,0,14,0,12,0,215,0,9,0,0,0,250,250
Punjab,2002,For Prostitution,3,0,0,0,1,0,2,0,0,0,0,0,0,0,3,3
Punjab,2002,For Ransom,9,3,1,0,0,2,0,0,1,2,0,0,0,7,2,9
Punjab,2002,For Revenge,11,1,1,0,0,0,0,2,2,5,0,0,0,8,3,11
Punjab,2002,For Sale,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Punjab,2002,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2002,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2002,For unlawaful activity,49,1,2,0,0,0,0,23,1,19,2,1,0,44,5,49
Punjab,2002,Others,176,2,1,0,1,0,1,58,76,31,2,6,0,97,81,178
Punjab,2002,Total,551,7,7,3,21,3,21,83,332,57,16,7,0,160,397,557
Punjab,2003,For Adoption,7,1,3,0,0,0,0,3,0,0,0,0,0,4,3,7
Punjab,2003,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2003,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2003,For Illicit intercourse,45,0,0,0,4,0,6,0,36,0,3,0,0,0,49,49
Punjab,2003,For marriage,149,0,0,0,5,0,13,0,147,0,2,0,0,0,167,167
Punjab,2003,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2003,For Ransom,13,2,0,2,0,3,0,6,0,1,0,1,0,15,0,15
Punjab,2003,For Revenge,11,1,0,0,0,0,0,6,0,4,0,0,0,11,0,11
Punjab,2003,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2003,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2003,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2003,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2003,Others,239,3,1,3,7,4,16,79,96,41,2,4,0,134,122,256
Punjab,2003,Total,464,7,4,5,16,7,35,94,279,46,7,5,0,164,341,505
Punjab,2004,For Adoption,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Punjab,2004,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2004,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2004,For Illicit intercourse,76,0,0,0,2,0,6,0,63,0,5,0,0,0,76,76
Punjab,2004,For marriage,149,0,0,0,3,0,7,0,141,0,1,0,0,0,152,152
Punjab,2004,For Prostitution,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Punjab,2004,For Ransom,5,1,1,0,1,0,0,1,0,0,0,1,0,3,2,5
Punjab,2004,For Revenge,7,1,0,0,0,2,2,0,0,2,0,0,0,5,2,7
Punjab,2004,For Sale,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Punjab,2004,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2004,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2004,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2004,Others,223,2,3,3,4,6,8,95,83,32,5,1,0,139,103,242
Punjab,2004,Total,463,6,5,3,10,8,23,96,287,34,11,2,0,149,336,485
Punjab,2005,For Adoption,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Punjab,2005,For Begging,2,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
Punjab,2005,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2005,For Illicit intercourse,32,1,1,0,2,0,4,0,25,0,1,0,0,1,33,34
Punjab,2005,For marriage,168,0,0,0,8,0,13,1,148,0,28,0,0,1,197,198
Punjab,2005,For Prostitution,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
Punjab,2005,For Ransom,6,3,0,0,0,0,0,2,0,0,0,1,0,6,0,6
Punjab,2005,For Revenge,4,1,1,0,0,0,0,1,1,1,0,0,0,3,2,5
Punjab,2005,For Sale,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Punjab,2005,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2005,For Slavery,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Punjab,2005,For unlawaful activity,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2
Punjab,2005,Others,260,6,2,5,2,2,3,75,109,45,8,4,1,137,125,262
Punjab,2005,Total,478,13,5,5,14,2,20,86,283,46,38,5,1,157,361,518
Punjab,2006,For Adoption,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Punjab,2006,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2006,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2006,For Illicit intercourse,35,0,1,0,1,0,2,2,30,0,1,0,0,2,35,37
Punjab,2006,For marriage,315,0,2,0,18,1,91,0,210,1,3,0,0,2,324,326
Punjab,2006,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2006,For Ransom,14,5,0,0,0,2,0,2,2,2,1,0,0,11,3,14
Punjab,2006,For Revenge,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
Punjab,2006,For Sale,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Punjab,2006,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2006,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2006,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2006,Others,223,13,4,5,6,12,6,92,37,45,3,9,0,176,56,232
Punjab,2006,Total,591,20,7,5,25,15,99,96,279,49,9,9,0,194,419,613
Punjab,2007,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2007,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2007,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2007,For Illicit intercourse,32,0,0,0,4,0,9,0,16,0,4,0,0,0,33,33
Punjab,2007,For marriage,446,0,3,0,64,0,155,0,231,0,1,0,0,0,454,454
Punjab,2007,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2007,For Ransom,10,4,1,1,0,0,0,1,1,2,0,0,0,8,2,10
Punjab,2007,For Revenge,8,0,0,1,0,1,0,3,0,4,0,1,0,10,0,10
Punjab,2007,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2007,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2007,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2007,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2007,Others,264,10,6,11,9,7,12,91,57,66,4,8,2,193,90,283
Punjab,2007,Total,760,14,10,13,77,8,176,95,305,72,9,9,2,211,579,790
Punjab,2008,For Adoption,28,0,0,0,0,0,0,3,24,0,1,0,0,3,25,28
Punjab,2008,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2008,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2008,For Illicit intercourse,19,0,0,0,2,0,2,0,13,0,2,0,0,0,19,19
Punjab,2008,For marriage,384,0,6,0,42,0,101,0,236,1,5,0,0,1,390,391
Punjab,2008,For Prostitution,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Punjab,2008,For Ransom,8,1,1,0,0,0,0,7,0,0,0,0,0,8,1,9
Punjab,2008,For Revenge,6,1,0,0,0,0,0,4,2,0,0,0,0,5,2,7
Punjab,2008,For Sale,3,0,2,0,1,0,0,0,0,0,0,0,0,0,3,3
Punjab,2008,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2008,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2008,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2008,Others,269,13,3,4,1,5,2,81,85,53,19,8,1,164,111,275
Punjab,2008,Total,718,15,12,4,47,5,105,95,360,54,27,8,1,181,552,733
Punjab,2009,For Adoption,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Punjab,2009,For Begging,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Punjab,2009,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2009,For Illicit intercourse,33,0,1,0,6,0,11,0,15,0,0,0,0,0,33,33
Punjab,2009,For marriage,437,0,8,0,67,0,216,0,144,0,12,0,0,0,447,447
Punjab,2009,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2009,For Ransom,6,3,0,0,1,0,1,1,0,0,0,0,0,4,2,6
Punjab,2009,For Revenge,7,2,0,0,0,0,0,1,0,2,1,1,0,6,1,7
Punjab,2009,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2009,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2009,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2009,For unlawaful activity,5,0,0,0,0,1,0,2,0,2,0,0,0,5,0,5
Punjab,2009,Others,202,9,8,8,8,8,3,73,29,56,5,7,0,161,53,214
Punjab,2009,Total,692,15,17,8,83,9,231,77,188,60,18,8,0,177,537,714
Punjab,2010,For Adoption,3,2,1,0,0,0,0,0,0,0,0,0,0,2,1,3
Punjab,2010,For Begging,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Punjab,2010,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2010,For Illicit intercourse,32,0,0,0,4,0,3,0,24,0,1,0,0,0,32,32
Punjab,2010,For marriage,510,0,0,0,63,0,246,0,206,0,0,0,0,0,515,515
Punjab,2010,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2010,For Ransom,10,4,0,0,0,1,0,4,1,0,0,0,0,9,1,10
Punjab,2010,For Revenge,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Punjab,2010,For Sale,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Punjab,2010,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2010,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2010,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2010,Others,231,22,3,7,8,9,14,80,22,63,2,5,1,186,50,236
Punjab,2010,Total,789,30,4,7,76,10,263,84,253,63,3,5,1,199,600,799
Punjab,2011,For Adoption,6,4,2,0,0,0,0,0,0,0,0,0,0,4,2,6
Punjab,2011,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2011,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2011,For Illicit intercourse,56,0,0,0,7,0,22,0,25,0,3,0,0,0,57,57
Punjab,2011,For marriage,440,0,0,0,50,0,221,0,172,0,5,0,0,0,448,448
Punjab,2011,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2011,For Ransom,14,4,0,5,0,1,0,3,0,0,0,1,0,14,0,14
Punjab,2011,For Revenge,4,0,0,0,0,1,0,0,2,1,0,0,0,2,2,4
Punjab,2011,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2011,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2011,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2011,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2011,Others,161,16,3,3,4,4,2,68,18,45,2,1,0,137,29,166
Punjab,2011,Total,681,24,5,8,61,6,245,71,217,46,10,2,0,157,538,695
Punjab,2012,For Adoption,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Punjab,2012,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2012,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2012,For Illicit intercourse,59,0,0,0,16,0,20,0,25,0,3,0,0,0,64,64
Punjab,2012,For marriage,603,0,0,0,65,0,301,0,232,0,21,0,0,0,619,619
Punjab,2012,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2012,For Ransom,8,1,0,0,0,0,0,3,0,3,0,1,0,8,0,8
Punjab,2012,For Revenge,9,0,0,0,0,0,2,7,0,0,0,0,0,7,2,9
Punjab,2012,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2012,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2012,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2012,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2012,Others,238,7,5,11,6,20,12,108,15,50,8,4,0,200,46,246
Punjab,2012,Total,919,10,5,11,87,20,335,118,272,53,32,5,0,217,731,948
Rajasthan,2001,For Adoption,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Rajasthan,2001,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2001,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2001,For Illicit intercourse,44,0,0,0,2,0,4,0,31,0,7,0,0,0,44,44
Rajasthan,2001,For marriage,1563,0,8,2,38,8,350,13,834,0,310,0,0,23,1540,1563
Rajasthan,2001,For Prostitution,10,0,0,0,1,0,0,0,9,0,0,0,0,0,10,10
Rajasthan,2001,For Ransom,10,1,0,1,0,0,0,1,1,6,0,0,0,9,1,10
Rajasthan,2001,For Revenge,31,1,0,2,0,0,0,21,0,5,2,0,0,29,2,31
Rajasthan,2001,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2001,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2001,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2001,For unlawaful activity,5,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5
Rajasthan,2001,Others,1054,2,7,23,35,78,99,231,347,142,72,10,8,486,568,1054
Rajasthan,2001,Total,2718,5,15,28,76,86,453,266,1222,158,391,10,8,553,2165,2718
Rajasthan,2002,For Adoption,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Rajasthan,2002,For Begging,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Rajasthan,2002,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2002,For Illicit intercourse,29,0,0,0,0,0,0,0,28,0,1,0,0,0,29,29
Rajasthan,2002,For marriage,1567,0,0,0,4,3,20,8,1325,1,206,0,0,12,1555,1567
Rajasthan,2002,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2002,For Ransom,12,2,0,0,0,1,1,5,0,2,0,1,0,11,1,12
Rajasthan,2002,For Revenge,17,0,0,0,0,1,0,6,1,7,2,0,0,14,3,17
Rajasthan,2002,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2002,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2002,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2002,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2002,Others,960,1,1,2,3,5,6,358,339,153,78,12,2,531,429,960
Rajasthan,2002,Total,2587,3,3,2,7,10,27,377,1693,163,287,13,2,568,2019,2587
Rajasthan,2003,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2003,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2003,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2003,For Illicit intercourse,11,0,2,0,5,0,4,0,0,0,0,0,0,0,11,11
Rajasthan,2003,For marriage,1216,0,0,0,5,0,23,0,963,0,209,0,16,0,1216,1216
Rajasthan,2003,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2003,For Ransom,10,1,0,3,0,0,0,0,2,2,1,1,0,7,3,10
Rajasthan,2003,For Revenge,27,0,0,1,0,0,0,13,3,5,2,1,2,20,7,27
Rajasthan,2003,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2003,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2003,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2003,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2003,Others,974,0,0,0,0,2,0,318,425,131,79,10,9,461,513,974
Rajasthan,2003,Total,2238,1,2,4,10,2,27,331,1393,138,291,12,27,488,1750,2238
Rajasthan,2004,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2004,For Begging,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Rajasthan,2004,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2004,For Illicit intercourse,14,0,0,0,0,0,0,0,14,0,0,0,0,0,14,14
Rajasthan,2004,For marriage,1334,0,1,0,14,0,53,0,1046,0,219,0,1,0,1334,1334
Rajasthan,2004,For Prostitution,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Rajasthan,2004,For Ransom,7,0,0,1,0,0,0,4,0,2,0,0,0,7,0,7
Rajasthan,2004,For Revenge,8,0,0,0,0,0,0,6,0,2,0,0,0,8,0,8
Rajasthan,2004,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2004,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2004,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2004,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2004,Others,1019,5,2,7,7,10,27,300,410,161,83,5,2,488,531,1019
Rajasthan,2004,Total,2384,5,3,8,22,10,80,310,1471,165,302,5,3,503,1881,2384
Rajasthan,2005,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2005,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2005,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2005,For Illicit intercourse,12,0,0,0,2,0,1,0,9,0,0,0,0,0,12,12
Rajasthan,2005,For marriage,968,0,0,0,8,0,49,0,740,0,170,0,1,0,968,968
Rajasthan,2005,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2005,For Ransom,11,2,0,1,0,1,0,3,0,3,1,0,0,10,1,11
